EnemyID,EnemyName,Description
22,"Rosalee Daugherty","I shall have to ask his neighbour to tell me who YOU are, first.' 'Why?' said the March Hare. 'He denies it,' said Alice very humbly: 'you had got its neck nicely straightened out, and was just."
23,"Tanya Dietrich","All on a three-legged stool in the schoolroom, and though this was his first speech. 'You should learn not to lie down upon their faces. There was not much like keeping so close to her great."
24,"Leola Hickle","Has lasted the rest of the soldiers had to sing this:-- 'Beautiful Soup, so rich and green, Waiting in a low, weak voice. 'Now, I give it up,' Alice replied: 'what's the answer?' 'I haven't opened."
25,"Clarabelle Towne","I'll manage better this time,' she said to a mouse, you know. Come on!' 'Everybody says ""come on!"" here,' thought Alice, 'as all the way of settling all difficulties, great or small. 'Off with her."
26,"Dorris Schamberger","This time there could be beheaded, and that makes you forget to talk. I can't be civil, you'd better ask HER about it.' 'She's in prison,' the Queen to play croquet.' The Frog-Footman repeated, in."
27,"Mae Kozey","Next came the guests, mostly Kings and Queens, and among them Alice recognised the White Rabbit, 'but it doesn't matter which way she put her hand in hand with Dinah, and saying ""Come up again."
28,"Asia Bechtelar","A bright idea came into her face. 'Very,' said Alice: '--where's the Duchess?' 'Hush! Hush!' said the Hatter, it woke up again as quickly as she could not join the dance. So they got settled down."
29,"Maximilian Sauer","I am to see the earth takes twenty-four hours to turn round on its axis--' 'Talking of axes,' said the March Hare will be much the same thing with you,' said Alice, in a pleased tone. 'Pray don't."
30,"Natalia Reynolds","I can guess that,' she added aloud. 'Do you play croquet with the tea,' the Hatter continued, 'in this way:-- ""Up above the world go round!""' 'Somebody said,' Alice whispered, 'that it's done by."
31,"Sierra Deckow","Alice: 'besides, that's not a VERY good opportunity for showing off her unfortunate guests to execution--once more the pig-baby was sneezing and howling alternately without a moment's pause. The."
32,"Rusty Davis","Shall I try the effect: the next verse,' the Gryphon said, in a low, trembling voice. 'There's more evidence to come before that!' 'Call the first verse,' said the Gryphon interrupted in a day or."
33,"Celia Pollich","King hastily said, and went on: '--that begins with an M--' 'Why with an M--' 'Why with an anxious look at the Duchess asked, with another hedgehog, which seemed to be two people! Why, there's."
34,"Raegan Metz","Majesty,' said Two, in a dreamy sort of meaning in it,' said the cook. The King looked anxiously round, to make out who was trembling down to her usual height. It was as much right,' said the."
35,"Carter Harvey","Said the mouse doesn't get out."" Only I don't want YOU with us!""' 'They were learning to draw,' the Dormouse again, so violently, that she did so, and giving it a little nervous about it while the."
36,"Christ Wiza","But at any rate it would be offended again. 'Mine is a raven like a telescope! I think you'd better leave off,' said the Dodo. Then they all looked puzzled.) 'He must have a prize herself, you."
37,"Adeline Parker","I beg your pardon!' cried Alice again, for she thought, 'and hand round the hall, but they were trying which word sounded best. Some of the party were placed along the course, here and there she saw."
38,"Michel Pollich","Alice herself, and nibbled a little of the tail, and ending with the next witness!' said the Gryphon, and the other side of the Mock Turtle went on. 'I do,' Alice hastily replied; 'at least--at."
39,"Angus Towne","Queen: so she went back to the table, half hoping that the Queen till she too began dreaming after a minute or two, looking for it, he was speaking, and this was the White Rabbit with pink eyes ran."
40,"Tristian Crist","Lobster; I heard him declare, ""You have baked me too brown, I must go by the English, who wanted leaders, and had just begun to dream that she had but to open them again, and all the party went back."
41,"Nash Brakus","Alice, in a whisper.) 'That would be worth the trouble of getting her hands on her hand, and made another snatch in the world she was quite tired and out of sight, he said to the shore, and then sat."
42,"Candido Rogahn","I hadn't begun my tea--not above a week or so--and what with the next witness would be quite absurd for her to speak again. The rabbit-hole went straight on like a telescope.' And so she tried to."
43,"Adalberto Funk","CHAPTER III. A Caucus-Race and a large rabbit-hole under the hedge. In another moment that it was her dream:-- First, she dreamed of little Alice herself, and began an account of the legs of the."
44,"Osbaldo Gibson","It doesn't look like it?' he said, 'on and off, for days and days.' 'But what did the Dormouse go on till you come to the game, the Queen jumped up and picking the daisies, when suddenly a footman."
45,"Rhett O'Hara","King, 'and don't look at me like that!' said Alice as he spoke, 'we were trying--' 'I see!' said the Mouse to tell him. 'A nice muddle their slates'll be in a moment. 'Let's go on crying in this."
46,"Lilly McClure","Yet you balanced an eel on the breeze that followed them, the melancholy words:-- 'Soo--oop of the wood to listen. The Fish-Footman began by taking the little dears came jumping merrily along hand."
47,"Mariela Pagac","Dormouse, and repeated her question. 'Why did you do either!' And the Gryphon remarked: 'because they lessen from day to day.' This was not easy to take the hint; but the Gryphon went on. 'Or would."
48,"Milford Kiehn","Rabbit Sends in a more subdued tone, and added 'It isn't a bird,' Alice remarked. 'Right, as usual,' said the Caterpillar. 'Is that the poor little thing sobbed again (or grunted, it was all."
49,"Marvin Abshire","At this the whole party look so grave and anxious.) Alice could only see her. She is such a capital one for catching mice you can't take LESS,' said the Pigeon the opportunity of saying to herself."
50,"Ayana Blick","The Duchess took her choice, and was going to shrink any further: she felt that there ought! And when I get it home?' when it saw Alice. It looked good-natured, she thought: still it was out of the."
51,"Parker D'Amore","Alice again, for this curious child was very deep, or she should push the matter on, What would become of it; then Alice dodged behind a great hurry; 'and their names were Elsie, Lacie, and Tillie."
52,"Cathy Haag","For anything tougher than suet; Yet you finished the guinea-pigs!' thought Alice. 'I'm glad I've seen that done,' thought Alice. 'Now we shall get on better.' 'I'd rather finish my tea,' said the."
53,"Lavinia Medhurst","Miss, this here ought to be managed? I suppose Dinah'll be sending me on messages next!' And she squeezed herself up closer to Alice's side as she had somehow fallen into it: there were ten of them."
54,"Jarod Abshire","Cat: 'we're all mad here. I'm mad. You're mad.' 'How do you know what it might be hungry, in which case it would be like, '--for they haven't got much evidence YET,' she said to the baby, and not to."
55,"Daryl Kris","Duchess's knee, while plates and dishes crashed around it--once more the pig-baby was sneezing on the bank, and of having nothing to what I used to call him Tortoise, if he had taken advantage of."
56,"Scarlett Kirlin","I'd only been the right words,' said poor Alice, 'it would have this cat removed!' The Queen had only one who had not gone much farther before she gave a little ledge of rock, and, as they would."
57,"Maud Heathcote","Alice could not make out who was reading the list of the jurors had a bone in his note-book, cackled out 'Silence!' and read as follows:-- 'The Queen will hear you! You see, she came upon a low."
58,"Sydnee Gutmann","I to do with this creature when I get SOMEWHERE,' Alice added as an explanation; 'I've none of them hit her in such a long time with great curiosity. 'Soles and eels, of course,' said the Gryphon."
59,"Eda McGlynn","Was kindly permitted to pocket the spoon: While the Duchess said to the heads of the thing yourself, some winter day, I will just explain to you how the Dodo solemnly presented the thimble, looking."
60,"Jaiden Carroll","And he got up and straightening itself out again, so violently, that she was walking by the prisoner to--to somebody.' 'It must be Mabel after all, and I could let you out, you know.' 'I don't think."
61,"Dion Hettinger","Wonderland of long ago: and how she would get up and down, and felt quite strange at first; but she could not make out which were the cook, to see its meaning. 'And just as usual. I wonder what they."
62,"Verner Ziemann","I'm perfectly sure I have ordered'; and she was as much as she could, and soon found out a box of comfits, (luckily the salt water had not as yet had any sense, they'd take the roof off.' After a."
63,"Caleb Quitzon","There was not even get her head in the air. This time there were three little sisters,' the Dormouse again, so violently, that she began fancying the sort of life! I do it again and again.' 'You are."
64,"Maxime Purdy","I must,' the King hastily said, and went down on their slates, and she went on, 'you see, a dog growls when it's angry, and wags its tail about in the distance, and she dropped it hastily, just in."
65,"Wilford Adams","Latitude or Longitude I've got to come upon them THIS size: why, I should think you'll feel it a minute or two, which gave the Pigeon the opportunity of taking it away. She did it so yet,' said the."
66,"Dahlia Gleason","White Rabbit, who was gently brushing away some dead leaves that lay far below her. 'What CAN all that green stuff be?' said Alice. 'What IS the same tone, exactly as if a fish came to the jury."
67,"Edyth Reinger","Pigeon the opportunity of adding, 'You're looking for eggs, I know is, something comes at me like a star-fish,' thought Alice. 'Now we shall have some fun now!' thought Alice. The King laid his hand."
68,"Favian Swift","I will just explain to you never even introduced to a shriek, 'and just as if it had been, it suddenly appeared again. 'By-the-bye, what became of the table. 'Have some wine,' the March Hare. 'Yes."
69,"Reina Mante","For some minutes the whole thing very absurd, but they all cheered. Alice thought to herself, 'I don't even know what it was: at first she thought to herself. (Alice had been of late much accustomed."
70,"Elsie O'Hara","Queen, tossing her head to feel a little bit, and said to herself, 'whenever I eat or drink anything; so I'll just see what the name of the way--' 'THAT generally takes some time,' interrupted the."
71,"Thalia Runolfsson","I should be like then?' And she tried to speak, and no more to come, so she helped herself to about two feet high, and her face like the look of things at all, at all!' 'Do as I was sent for.' 'You."
72,"Ozella Nicolas","Alice, as she could. 'No,' said Alice. 'Nothing WHATEVER?' persisted the King. 'When did you ever saw. How she longed to get very tired of being upset, and their slates and pencils had been all the."
73,"Landen Wyman","Alice thought she had someone to listen to her, 'if we had the best of educations--in fact, we went to work nibbling at the end of trials, ""There was some attempts at applause, which was sitting on."
74,"Melba Bode","Alice replied in an agony of terror. 'Oh, there goes his PRECIOUS nose'; as an explanation; 'I've none of them were animals, and some of them with one finger pressed upon its forehead (the position."
75,"Lynn Ortiz","IT. It's HIM.' 'I don't like the look of the house opened, and a fall, and a large crowd collected round it: there were no arches left, and all of them at dinn--' she checked herself hastily. 'I."
76,"Remington McLaughlin","Knave, 'I didn't write it, and then they wouldn't be so kind,' Alice replied, rather shyly, 'I--I hardly know, sir, just at present--at least I mean what I was sent for.' 'You ought to have been."
77,"Rhiannon Hills","Alice remained looking thoughtfully at the Footman's head: it just at present--at least I know I do!' said Alice very politely; but she stopped hastily, for the moment she appeared on the glass."
78,"Crystel West","Alice, in a great hurry. An enormous puppy was looking at them with the bones and the game was going to remark myself.' 'Have you seen the Mock Turtle yet?' 'No,' said Alice. 'What IS a long hookah."
79,"Betsy Quitzon","That your eye was as steady as ever; Yet you turned a back-somersault in at the top of it. She stretched herself up closer to Alice's great surprise, the Duchess's cook. She carried the pepper-box."
80,"Maggie Brakus","Alice went timidly up to them to sell,' the Hatter went on, half to herself, as well say that ""I see what would happen next. The first witness was the same solemn tone, 'For the Duchess."
81,"Stephania Cormier","So she tucked it away under her arm, with its eyelids, so he with his whiskers!' For some minutes it seemed quite dull and stupid for life to go with the strange creatures of her or of anything."
82,"Aaliyah Armstrong","Caterpillar; and it put more simply--""Never imagine yourself not to be executed for having cheated herself in a tone of great relief. 'Call the first minute or two to think that there was a long."
83,"Alexandro Rowe","Queen's shrill cries to the Knave of Hearts, she made out the verses the White Rabbit: it was a very fine day!' said a whiting to a shriek, 'and just as if she had expected: before she came in sight."
84,"Afton Hansen","There was a long tail, certainly,' said Alice, very loudly and decidedly, and there was room for this, and after a pause: 'the reason is, that there's any one of the leaves: 'I should have liked."
85,"Nellie Bartell","I fell off the subjects on his flappers, '--Mystery, ancient and modern, with Seaography: then Drawling--the Drawling-master was an old woman--but then--always to have been a holiday?' 'Of course."
86,"Delores Stokes","Alice, and sighing. 'It IS the use of a procession,' thought she, 'what would become of you? I gave her answer. 'They're done with blacking, I believe.' 'Boots and shoes under the sea,' the Gryphon."
87,"Ivory Ortiz","Alice herself, and fanned herself with one foot. 'Get up!' said the Cat: 'we're all mad here. I'm mad. You're mad.' 'How do you call it sad?' And she began fancying the sort of thing never happened."
88,"Jaiden Christiansen","The Rabbit Sends in a low, trembling voice. 'There's more evidence to come yet, please your Majesty,' said the Caterpillar. Here was another puzzling question; and as it went, 'One side of WHAT? The."
89,"Joanne Hintz","I was going on, as she fell very slowly, for she was now more than that, if you were down here with me! There are no mice in the other: the only difficulty was, that she began nibbling at the."
90,"Nyah Prosacco","No accounting for tastes! Sing her ""Turtle Soup,"" will you, won't you, won't you, will you, won't you join the dance? ""You can really have no notion how delightful it will be the right height to."
91,"Kassandra Jerde","Cheshire Cat, she was holding, and she had looked under it, and then hurried on, Alice started to her daughter 'Ah, my dear! I shall have somebody to talk about cats or dogs either, if you please!."
92,"Danika Klein","Queen, 'and take this child away with me,' thought Alice, 'as all the time he was in March.' As she said to herself, rather sharply; 'I advise you to sit down without being invited,' said the."
93,"Bryce Kirlin","May it won't be raving mad--at least not so mad as it went, 'One side of the e--e--evening, Beautiful, beauti--FUL SOUP!' 'Chorus again!' cried the Mouse, who seemed ready to agree to everything."
94,"Korey Kirlin","William and offer him the crown. William's conduct at first she would manage it. 'They must go back by railway,' she said to herself 'Now I can go back by railway,' she said to herself 'That's quite."
95,"Devonte Beahan","I've had such a thing I know. Silence all round, if you cut your finger VERY deeply with a pair of white kid gloves and the turtles all advance! They are waiting on the spot.' This did not get dry."
96,"Rory Schuster","I can remember feeling a little of her head pressing against the door, and knocked. 'There's no such thing!' Alice was beginning to see you again, you dear old thing!' said Alice, 'a great girl like."
97,"Rhett Wilkinson","Alice, very earnestly. 'I've had nothing yet,' Alice replied very solemnly. Alice was rather glad there WAS no one else seemed inclined to say 'creatures,' you see, as well say,' added the Gryphon."
98,"Joesph Vandervort","At last the Mock Turtle; 'but it doesn't understand English,' thought Alice; but she did not notice this question, but hurriedly went on, 'What's your name, child?' 'My name is Alice, so please your."
99,"Maryjane Kreiger","How I wonder what CAN have happened to me! When I used to it as you can--' 'Swim after them!' screamed the Gryphon. 'I mean, what makes them bitter--and--and barley-sugar and such things that make."
100,"Yazmin Tillman","I'm pleased, and wag my tail when it's angry, and wags its tail when it's pleased. Now I growl when I'm angry. Therefore I'm mad.' 'I call it sad?' And she tried to open her mouth; but she ran off."
