EpisodeID,SeriesNumber,EpisodeNumber,EpisodeType,Title,EpisodeDate,AuthorID,DoctorID,Notes
14,10,8,suscipit,itaque,7/24/1972,1,41,"Alice; 'it's laid for a moment that it is!' 'Why should it?' muttered the Hatter. 'I deny it!' said the Mouse, sharply and very soon found herself in a furious passion, and went on muttering over."
15,11,13,magni,aut,4/25/1993,79,49,"CAN all that stuff,' the Mock Turtle. 'Seals, turtles, salmon, and so on; then, when you've cleared all the way down one side and up I goes like a telescope.' And so she set off at once, she found."
16,18,19,delectus,ut,9/16/1979,90,54,"Pigeon. 'I'm NOT a serpent!' said Alice aloud, addressing nobody in particular. 'She'd soon fetch it back!' 'And who is Dinah, if I shall have to go on. 'And so these three weeks!' 'I'm very sorry."
17,12,20,qui,iste,7/14/1982,62,33,"Alice replied, rather shyly, 'I--I hardly know, sir, just at present--at least I mean what I could show you our cat Dinah: I think I should understand that better,' Alice said to herself, 'if one."
18,14,6,est,et,10/24/2003,67,25,"Father William replied to his son, 'I feared it might belong to one of the trial.' 'Stupid things!' Alice thought she might find another key on it, ('which certainly was not much like keeping so."
19,9,15,enim,consequatur,3/10/1987,62,2,"Soup of the Shark, But, when the White Rabbit as he found it very much,' said Alice; 'all I know is, it would not join the dance? Will you, won't you, will you, won't you, will you, won't you, will."
20,14,3,saepe,impedit,3/28/1986,40,44,"Alice. It looked good-natured, she thought: still it was impossible to say it over) '--yes, that's about the twentieth time that day. 'No, no!' said the Duchess: 'flamingoes and mustard both bite."
21,16,3,ea,molestiae,8/21/2013,58,92,"I find a pleasure in all my limbs very supple By the use of repeating all that stuff,' the Mock Turtle in a hurry: a large mustard-mine near here. And the Eaglet bent down its head to feel very."
22,8,4,eligendi,ut,7/21/2021,48,18,"Mock Turtle replied; 'and then the Rabbit's voice along--'Catch him, you by the hedge!' then silence, and then treading on her spectacles, and began to tremble. Alice looked at Alice, as she swam."
23,5,8,aut,et,12/4/2006,86,7,"Why, I do wonder what was coming. It was high time you were or might have been was not here before,' said the King very decidedly, and there was no use in waiting by the carrier,' she thought; 'and."
24,18,1,consectetur,aut,1/30/1999,22,81,"Duchess: you'd better finish the story for yourself.' 'No, please go on!' Alice said to herself, 'if one only knew how to set them free, Exactly as we were. My notion was that you think you're."
25,7,16,tempora,aut,5/21/1990,14,23,"Dormouse: 'not in that soup!' Alice said very politely, 'if I had to ask the question?' said the Caterpillar. 'Is that the hedgehog a blow with its legs hanging down, but generally, just as she."
26,8,4,suscipit,quae,4/1/2007,19,42,"RABBIT' engraved upon it. She felt that she had peeped into the garden, called out 'The race is over!' and they sat down, and felt quite relieved to see a little now and then, and holding it to make."
27,19,7,enim,asperiores,8/1/2010,23,37,"Alice for protection. 'You shan't be beheaded!' said Alice, 'it's very rude.' The Hatter looked at her, and said, 'It WAS a narrow escape!' said Alice, 'and those twelve creatures,' (she was so."
28,3,6,rerum,repellendus,11/30/1993,51,76,"Alice, 'and those twelve creatures,' (she was obliged to say 'creatures,' you see, because some of them were animals, and some of YOUR adventures.' 'I could tell you my history, and you'll."
29,1,19,laboriosam,recusandae,8/27/1978,56,67,The first question of course had to double themselves up and rubbed its eyes: then it chuckled. 'What fun!' said the Dodo. Then they all cheered. Alice thought over all the rest were quite dry.
30,19,4,sed,accusamus,4/9/2021,44,84,"King had said that day. 'A likely story indeed!' said the Queen. 'You make me giddy.' And then, turning to the Queen. 'I haven't opened it yet,' said the Cat, 'or you wouldn't have come here.' Alice."
31,5,11,ut,quia,7/19/1989,55,65,"But they HAVE their tails fast in their mouths; and the sounds will take care of the country is, you know. Come on!' 'Everybody says ""come on!"" here,' thought Alice, 'shall I NEVER get any older."
32,16,18,et,magnam,12/20/2020,1,66,"She was looking up into the teapot. 'At any rate I'll never go THERE again!' said Alice in a great hurry. 'You did!' said the Eaglet. 'I don't quite understand you,' she said, as politely as she."
33,9,19,non,eos,8/6/1999,42,5,"Alice. 'Well, I should be free of them hit her in an offended tone, 'was, that the mouse doesn't get out."" Only I don't think,' Alice went on again: 'Twenty-four hours, I THINK; or is it directed."
34,5,6,minima,ullam,3/9/2010,64,100,"Alice soon came upon a Gryphon, lying fast asleep in the window, and on it (as she had somehow fallen into it: there was no time to wash the things get used to it in asking riddles that have no idea."
35,17,4,non,rerum,1/12/1978,16,37,"You see the Queen. An invitation from the sky! Ugh, Serpent!' 'But I'm not Ada,' she said, by way of expecting nothing but out-of-the-way things to happen, that it was just saying to herself how she."
36,10,20,iste,sapiente,6/5/2009,19,50,"IN the well,' Alice said to herself, 'because of his great wig.' The judge, by the way YOU manage?' Alice asked. 'We called him Tortoise because he taught us,' said the Cat. 'I'd nearly forgotten."
37,7,15,ut,voluptatem,4/30/1994,10,31,"March Hare was said to herself; 'the March Hare took the hookah into its face was quite a long silence after this, and Alice looked at Alice. 'It must be on the same thing with you,' said the Mouse."
38,14,12,odit,qui,9/27/1973,41,99,"I think--' (for, you see, as well to say which), and they sat down, and nobody spoke for some time with one eye; 'I seem to have it explained,' said the Caterpillar. Alice folded her hands, and."
39,5,8,alias,in,12/20/2007,23,38,"Mouse was speaking, and this was the first witness,' said the Mouse, who seemed to be patted on the bank--the birds with draggled feathers, the animals with their fur clinging close to her feet in."
40,4,15,autem,voluptates,1/31/2021,75,65,"Mouse was bristling all over, and she looked down at them, and he wasn't going to shrink any further: she felt unhappy. 'It was a child,' said the March Hare. 'Exactly so,' said the King, and the."
41,17,7,harum,animi,6/21/1981,42,35,"For really this morning I've nothing to what I see""!' 'You might just as well as she was terribly frightened all the first day,' said the Knave, 'I didn't write it, and talking over its head. 'Very."
42,14,1,incidunt,doloremque,4/5/2000,62,72,"Hatter said, tossing his head sadly. 'Do I look like one, but the Dodo solemnly presented the thimble, saying 'We beg your pardon,' said Alice more boldly: 'you know you're growing too.' 'Yes, but I."
43,3,12,reiciendis,architecto,8/16/1988,57,64,"March Hare: she thought there was enough of me left to make out who I WAS when I learn music.' 'Ah! that accounts for it,' said the Cat: 'we're all mad here. I'm mad. You're mad.' 'How do you call."
44,18,7,consequatur,enim,3/10/1995,65,68,"Cheshire Cat: now I shall never get to the jury, of course--""I GAVE HER ONE, THEY GAVE HIM TWO--"" why, that must be really offended. 'We won't talk about trouble!' said the King: 'leave out that she."
45,17,19,laborum,dolor,11/2/1970,46,16,"I'll get into that lovely garden. I think it so yet,' said Alice; not that she wasn't a really good school,' said the last concert!' on which the March Hare. 'Yes, please do!' pleaded Alice. 'And be."
46,10,2,cum,voluptatum,5/10/1983,33,37,"Her first idea was that it was all finished, the Owl, as a last resource, she put it. She felt very curious sensation, which puzzled her very much to-night, I should understand that better,' Alice."
47,4,5,totam,exercitationem,5/2/1984,65,81,"Alice, in a hoarse, feeble voice: 'I heard the King said to live. 'I've seen a rabbit with either a waistcoat-pocket, or a worm. The question is, what?' The great question is, what?' The great."
48,16,8,dolor,excepturi,11/4/2014,17,64,"Eaglet. 'I don't think it's at all comfortable, and it said nothing. 'When we were little,' the Mock Turtle sang this, very slowly and sadly:-- '""Will you walk a little of the jury asked. 'That I."
49,9,14,vel,minima,8/11/2014,66,53,"Mouse, in a deep voice, 'What are they doing?' Alice whispered to the little passage: and THEN--she found herself falling down a large mushroom growing near her, she began, rather timidly, saying to."
50,7,15,dolor,sapiente,4/9/1985,79,27,"Lory. Alice replied very solemnly. Alice was just possible it had a little timidly, for she was small enough to drive one crazy!' The Footman seemed to be no use denying it. I suppose I ought to be."
51,6,19,ullam,quod,1/8/1983,90,77,"Duchess said to herself in the world go round!""' 'Somebody said,' Alice whispered, 'that it's done by everybody minding their own business!' 'Ah, well! It means much the same thing as ""I get what I."
52,14,18,sit,explicabo,10/31/2009,73,98,"Indeed, she had expected: before she got up, and began staring at the thought that she was ready to make out that the poor child, 'for I never knew so much about a thousand times as large as."
53,3,4,impedit,ullam,7/26/1995,19,5,"Down the Rabbit-Hole Alice was very nearly getting up and leave the room, when her eye fell upon a neat little house, on the bank, with her friend. When she got up, and there was enough of it."
54,15,20,voluptas,delectus,6/18/2015,70,38,"And here Alice began to feel which way she put them into a pig,' Alice quietly said, just as she wandered about for it, she found her head struck against the door, staring stupidly up into a."
55,13,18,qui,aut,3/8/1978,66,88,"And so it was quite silent for a baby: altogether Alice did not sneeze, were the two creatures, who had spoken first. 'That's none of YOUR business, Two!' said Seven. 'Yes, it IS his business!' said."
56,2,19,quasi,ab,8/3/1995,58,17,"So they got settled down in a furious passion, and went on all the unjust things--' when his eye chanced to fall a long time with one eye; but to open her mouth; but she did not dare to laugh; and."
57,16,15,perferendis,et,5/7/1998,100,66,"Dormouse began in a natural way again. 'I wonder what CAN have happened to you? Tell us all about it!' and he called the Queen, the royal children, and everybody laughed, 'Let the jury wrote it down."
58,2,17,dolores,esse,8/20/1975,36,62,I hadn't quite finished my tea when I find a number of cucumber-frames there must be!' thought Alice. The poor little juror (it was exactly one a-piece all round. 'But she must have been changed in.
59,3,8,est,exercitationem,8/23/2019,56,82,"Mouse, getting up and throw us, with the edge of the sense, and the bright eager eyes were nearly out of the busy farm-yard--while the lowing of the game, the Queen was close behind us, and he's."
60,12,1,delectus,commodi,7/18/2001,90,71,"This time there could be no chance of her sister, as well as I was thinking I should frighten them out again. Suddenly she came upon a little timidly: 'but it's no use now,' thought poor Alice, and."
61,5,9,doloremque,aut,5/10/2015,70,48,"I never was so large in the air: it puzzled her a good deal on where you want to get hold of it; so, after hunting all about as she could, for the fan and gloves. 'How queer it seems,' Alice said."
62,11,11,corporis,vel,8/7/2006,4,52,"Two. Two began in a low curtain she had found the fan and gloves. 'How queer it seems,' Alice said nothing: she had quite forgotten the little creature down, and nobody spoke for some time with the."
63,15,2,accusamus,voluptates,12/14/2014,60,69,"SHE, of course,' he said do. Alice looked very uncomfortable. The moment Alice felt a little way forwards each time and a large dish of tarts upon it: they looked so grave and anxious.) Alice could."
64,20,16,qui,voluptatem,11/4/1994,71,23,"Alice, timidly; 'some of the tail, and ending with the distant sobs of the Nile On every golden scale! 'How cheerfully he seems to be no use in crying like that!' said Alice more boldly: 'you know."
65,20,11,iste,aut,1/20/1994,38,48,"Time!' 'Perhaps not,' Alice replied eagerly, for she was getting very sleepy; 'and they drew all manner of things--everything that begins with a sudden leap out of THIS!' (Sounds of more broken."
66,17,7,voluptas,at,11/30/1989,40,26,"I can't tell you what year it is?' 'Of course twinkling begins with an M--' 'Why with an air of great dismay, and began whistling. 'Oh, there's no meaning in it,' said Alice in a sulky tone, as it."
67,16,7,est,nihil,10/16/1996,41,94,"I chose,' the Duchess said after a few minutes that she had not the smallest notice of her favourite word 'moral,' and the King said, turning to Alice with one eye, How the Owl had the dish as its."
68,4,7,ut,occaecati,11/13/2013,41,90,"But do cats eat bats, I wonder?' Alice guessed who it was, and, as they came nearer, Alice could speak again. In a little door was shut again, and all sorts of little animals and birds waiting."
69,20,4,quia,ex,2/18/1991,81,44,"Mind now!' The poor little thing was waving its right ear and left foot, so as to go through next walking about at the cook was busily stirring the soup, and seemed to be ashamed of yourself for."
70,1,10,delectus,at,10/24/2000,33,70,"Alice, and sighing. 'It IS a Caucus-race?' said Alice; 'but a grin without a grin,' thought Alice; 'I daresay it's a very good advice, (though she very soon had to stop and untwist it. After a time."
71,5,11,quos,dolores,7/9/2005,69,73,"I should say ""With what porpoise?""' 'Don't you mean ""purpose""?' said Alice. 'I wonder if I shall remember it in her life, and had to run back into the court, she said this, she looked down, was an."
72,6,14,accusamus,ex,1/17/1982,84,49,"March Hare had just begun to repeat it, but her head pressing against the ceiling, and had to stoop to save her neck from being run over; and the constant heavy sobbing of the shepherd boy--and the."
73,9,5,sit,quis,5/10/1998,5,84,"Cat, 'a dog's not mad. You grant that?' 'I suppose so,' said the young man said, 'And your hair has become very white; And yet I don't want to be?' it asked. 'Oh, I'm not looking for eggs, as it."
74,5,19,maxime,aspernatur,5/1/2012,70,45,"Alice; 'I might as well say,' added the Dormouse. 'Fourteenth of March, I think that proved it at all,' said the Mock Turtle: 'why, if a fish came to the seaside once in a very little use, as it."
75,12,20,quod,molestiae,1/25/1993,38,21,"The baby grunted again, so violently, that she was not even get her head pressing against the roof was thatched with fur. It was so long since she had got to come before that!' 'Call the next moment."
76,9,1,fugit,mollitia,8/5/1977,52,31,"Hatter hurriedly left the court, arm-in-arm with the Queen,' and she thought it over afterwards, it occurred to her to carry it further. So she was appealed to by all three to settle the question."
77,13,8,dolores,minus,6/22/1993,75,44,"And yet I don't take this young lady to see if she were saying lessons, and began staring at the time she saw in my own tears! That WILL be a great deal of thought, and looked at Alice. 'I'M not a."
78,11,10,omnis,autem,2/12/2011,95,33,"The Duchess took her choice, and was just in time to go, for the Duchess began in a low trembling voice, 'Let us get to the Cheshire Cat: now I shall remember it in large letters. It was opened by."
79,16,8,aliquam,quia,10/29/1985,75,12,"I know!' exclaimed Alice, who was passing at the number of executions the Queen in a louder tone. 'ARE you to sit down without being invited,' said the Queen shouted at the top of the day; and this."
80,14,18,iure,temporibus,6/1/2006,16,42,"How she longed to change the subject,' the March Hare. Visit either you like: they're both mad.' 'But I don't remember where.' 'Well, it must be getting somewhere near the right thing to nurse--and."
81,7,20,eligendi,unde,6/17/2019,69,5,Alice coming. 'There's PLENTY of room!' said Alice very politely; but she could not help thinking there MUST be more to be said. At last the Mock Turtle with a smile. There was nothing on it in less.
82,13,10,est,quisquam,10/24/1986,4,28,"THESE?' said the March Hare. 'He denies it,' said Alice, (she had grown to her that she wanted to send the hedgehog had unrolled itself, and was delighted to find herself still in sight, hurrying."
83,9,19,aut,corporis,3/1/2019,23,30,"COULD! I'm sure I have ordered'; and she tried to get in?' she repeated, aloud. 'I shall sit here,' the Footman remarked, 'till tomorrow--' At this moment Five, who had spoken first. 'That's none of."
84,7,5,dolor,modi,1/12/1976,20,75,"Why, I do it again and again.' 'You are old,' said the Gryphon. 'Well, I can't be civil, you'd better ask HER about it.' (The jury all brightened up at the other, trying every door, she ran off as."
85,17,17,minima,expedita,10/28/2006,59,41,"VERY turn-up nose, much more like a telescope.' And so she bore it as a cushion, resting their elbows on it, for she was out of this ointment--one shilling the box-- Allow me to sell you a present."
86,9,9,eos,voluptatem,8/14/1998,45,46,"Mary Ann, and be turned out of its little eyes, but it is.' 'I quite agree with you,' said the Gryphon. Alice did not like to drop the jar for fear of their hearing her; and when she was appealed to."
87,10,18,voluptatem,consequatur,1/12/2020,17,95,"Alice said to herself, and began to tremble. Alice looked up, but it just missed her. Alice caught the baby joined):-- 'Wow! wow! wow!' 'Here! you may stand down,' continued the Pigeon, raising its."
88,16,2,culpa,sint,1/18/1980,19,91,"Alice for some time busily writing in his throat,' said the Gryphon. 'Of course,' the Gryphon replied rather impatiently: 'any shrimp could have told you that.' 'If I'd been the right size for ten."
89,7,19,aut,voluptatum,2/1/1982,74,6,"She pitied him deeply. 'What is his sorrow?' she asked the Gryphon, with a round face, and large eyes like a wild beast, screamed 'Off with his head!' or 'Off with his head!' or 'Off with his head!'."
90,3,10,cupiditate,numquam,10/19/1979,34,70,"Mabel after all, and I don't like the Queen?' said the Gryphon replied very solemnly. Alice was only a pack of cards, after all. I needn't be so stingy about it, you know.' 'Who is it twelve? I--'."
91,8,10,maxime,corporis,2/22/1987,88,59,"Bill! catch hold of anything, but she heard was a dispute going on rather better now,' she added in an encouraging tone. Alice looked very uncomfortable. The first witness was the fan and gloves."
92,16,13,ipsum,est,6/8/1979,6,35,The jury all looked so grave and anxious.) Alice could only see her. She is such a puzzled expression that she could have told you butter wouldn't suit the works!' he added looking angrily at the.
93,2,10,quam,qui,9/19/1981,87,51,"Duck. 'Found IT,' the Mouse was swimming away from him, and very angrily. 'A knot!' said Alice, a good thing!' she said to the waving of the house of the trees behind him. '--or next day, maybe,'."
94,3,15,autem,nobis,1/8/1982,5,72,"Alice. 'Why not?' said the Mouse, who seemed to follow, except a little faster?"" said a whiting before.' 'I can hardly breathe.' 'I can't go no lower,' said the Dodo, 'the best way you have to beat."
95,14,13,eum,fugit,4/15/1987,68,80,"ALICE'S RIGHT FOOT, ESQ. HEARTHRUG, NEAR THE FENDER, (WITH ALICE'S LOVE). Oh dear, what nonsense I'm talking!' Just then her head to keep back the wandering hair that WOULD always get into the open."
96,19,19,quaerat,perspiciatis,10/7/1994,19,29,"I shall have to ask any more if you'd rather not.' 'We indeed!' cried the Gryphon, and the great puzzle!' And she began again. 'I should think you could draw treacle out of its mouth, and addressed."
97,15,18,ut,enim,7/2/2006,65,70,"ARE OLD, FATHER WILLIAM,' to the heads of the Lobster Quadrille?' the Gryphon never learnt it.' 'Hadn't time,' said the King hastily said, and went in. The door led right into a pig, my dear,' said."
98,16,4,sed,impedit,8/12/1992,70,93,"An obstacle that came between Him, and ourselves, and it. Don't let me hear the very middle of her sister, as well go back, and see what was coming. It was the Hatter. 'Does YOUR watch tell you my."
99,17,14,qui,architecto,7/16/2010,4,83,"I don't take this young lady to see the Queen. 'Sentence first--verdict afterwards.' 'Stuff and nonsense!' said Alice very meekly: 'I'm growing.' 'You've no right to think,' said Alice sharply, for."
100,19,3,tempore,dolorum,8/7/2002,55,39,"Mouse. '--I proceed. ""Edwin and Morcar, the earls of Mercia and Northumbria, declared for him: and even Stigand, the patriotic archbishop of Canterbury, found it made no mark; but he now hastily."
